person,function,functionGroup,since,contractUntil,certifications,years_experience,notable_achievements,coaching_philosophy,contact_email,phone_number,profile_rating,availability_status
Augustin Senghor (Senegal),President,Board,2015-07-30,2018-04-29,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,False
Moise Katumbi (DR Congo),Chairman,Board,2020-10-05,2023-01-24,Basic Coaching Certificate,13,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.01,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-10-05,2023-03-18,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",6,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.9,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-10-22,2022-12-06,Advanced Tactical Analysis Certificate,12,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.54,False
Mohamed Mansour (Egypt),Owner,Board,2017-09-15,2019-10-06,"Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,3.95,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-09-16,2020-02-27,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.97,True
Mohamed Mansour (Egypt),Owner,Board,2020-09-18,2023-01-27,"Basic Coaching Certificate, Basic Coaching Certificate",23,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.65,False
Christopher Samba (Congo),Advisor,Board,2022-06-22,2025-01-18,Basic Coaching Certificate,25,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-07-22,2022-08-12,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-08-15,2024-07-21,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.87,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-09-22,2025-01-29,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.41,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-07-22,2019-07-14,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.28,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-07-22,2021-01-30,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",15,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.17,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-11-03,2026-10-25,UEFA Pro License,16,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.58,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-11-03,2024-01-12,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",10,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.82,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-10-26,2026-02-28,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.49,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-02-03,2025-10-25,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",8,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.63,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-11-07,2022-10-25,"Advanced GK Training, UEFA GK A License",22,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.97,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-11-03,2026-10-25,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",22,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.2,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-10-26,2025-07-05,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",10,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-10-26,2027-10-25,"FIFA Management Certificate, Football Management Degree, Sports Administration",18,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.85,True
Augustin Senghor (Senegal),President,Board,2015-11-03,2018-08-03,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,False
Moise Katumbi (DR Congo),Chairman,Board,2021-01-09,2023-04-30,Basic Coaching Certificate,14,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.18,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-09,2023-06-22,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.0,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-26,2023-03-12,Advanced Tactical Analysis Certificate,10,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.65,False
Mohamed Mansour (Egypt),Owner,Board,2017-12-20,2020-01-10,"Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.1,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-12-21,2020-06-02,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.97,False
Mohamed Mansour (Egypt),Owner,Board,2020-12-23,2023-05-03,"Basic Coaching Certificate, Basic Coaching Certificate",23,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.61,False
Christopher Samba (Congo),Advisor,Board,2022-09-26,2025-04-24,Basic Coaching Certificate,24,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.74,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-10-26,2022-11-16,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.83,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-11-19,2024-10-25,Talent ID License,12,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.41,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-12-27,2025-05-05,"Advanced Tactical Analysis Certificate, CAF B License",23,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.79,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-10-26,2019-10-18,Basic Coaching Certificate,7,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,3.97,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-10-26,2021-05-06,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.11,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-10-20,2025-10-11,UEFA Pro License,17,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.97,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-10-20,2022-12-29,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.9,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-10-12,2025-02-14,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.45,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-01-21,2024-10-11,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-10-24,2021-10-11,"Advanced GK Training, UEFA GK A License",20,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.61,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-10-20,2025-10-11,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",22,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.52,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-10-12,2024-06-21,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",10,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.92,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-10-12,2026-10-11,"FIFA Management Certificate, Football Management Degree, Sports Administration",15,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.18,True
Augustin Senghor (Senegal),President,Board,2014-10-20,2017-07-20,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.85,True
Moise Katumbi (DR Congo),Chairman,Board,2019-12-27,2022-04-16,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.86,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2019-12-27,2022-06-08,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",4,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.8,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-01-13,2022-02-26,Advanced Tactical Analysis Certificate,11,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.76,True
Mohamed Mansour (Egypt),Owner,Board,2016-12-06,2018-12-27,"Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.24,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2016-12-07,2019-05-20,"Basic Coaching Certificate, Basic Coaching Certificate",9,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.06,True
Mohamed Mansour (Egypt),Owner,Board,2019-12-10,2022-04-19,"Basic Coaching Certificate, Basic Coaching Certificate",24,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,False
Christopher Samba (Congo),Advisor,Board,2021-09-12,2024-04-10,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.59,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-10-13,2021-11-02,"Talent Identification Certificate, Player Analysis",24,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.98,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-11-05,2023-10-12,Talent ID License,11,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.53,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2021-12-13,2024-04-21,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.33,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-10-13,2018-10-04,Basic Coaching Certificate,5,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.43,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-10-12,2020-04-22,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.41,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-11-08,2026-10-30,UEFA Pro License,13,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.7,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-11-08,2024-01-17,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.65,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-10-31,2026-03-05,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.63,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-02-08,2025-10-30,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-11-12,2022-10-30,"Advanced GK Training, UEFA GK A License",22,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.62,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-11-08,2026-10-30,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.64,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-10-31,2025-07-10,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",11,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-10-31,2027-10-30,"FIFA Management Certificate, Football Management Degree, Sports Administration",19,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.98,False
Augustin Senghor (Senegal),President,Board,2015-11-08,2018-08-08,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,False
Moise Katumbi (DR Congo),Chairman,Board,2021-01-14,2023-05-05,Basic Coaching Certificate,14,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.29,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-14,2023-06-27,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",8,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.79,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-01-31,2023-03-17,Advanced Tactical Analysis Certificate,10,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.56,True
Mohamed Mansour (Egypt),Owner,Board,2017-12-25,2020-01-15,"Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.07,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-12-26,2020-06-07,"Basic Coaching Certificate, Basic Coaching Certificate",8,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.95,True
Mohamed Mansour (Egypt),Owner,Board,2020-12-28,2023-05-08,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.75,True
Christopher Samba (Congo),Advisor,Board,2022-10-01,2025-04-29,Basic Coaching Certificate,26,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-10-31,2022-11-21,"Talent Identification Certificate, Player Analysis",23,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.8,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-11-24,2024-10-30,Talent ID License,9,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.7,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2023-01-01,2025-05-10,"Advanced Tactical Analysis Certificate, CAF B License",22,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.63,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-10-31,2019-10-23,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.38,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-10-31,2021-05-11,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.05,True
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-07-08,2026-06-29,UEFA Pro License,14,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.8,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-07-08,2023-09-16,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.81,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-06-30,2025-11-02,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.68,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-10-08,2025-06-29,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",11,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.77,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-07-12,2022-06-29,"Advanced GK Training, UEFA GK A License",22,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.62,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-07-08,2026-06-29,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",25,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.51,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-06-30,2025-03-09,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-06-30,2027-06-29,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.83,True
Augustin Senghor (Senegal),President,Board,2015-07-08,2018-04-07,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-09-13,2023-01-02,Basic Coaching Certificate,15,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.01,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-09-13,2023-02-24,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",5,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.19,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-09-30,2022-11-14,Advanced Tactical Analysis Certificate,13,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.87,True
Mohamed Mansour (Egypt),Owner,Board,2017-08-24,2019-09-14,"Basic Coaching Certificate, Basic Coaching Certificate",20,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.14,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-08-25,2020-02-05,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.43,False
Mohamed Mansour (Egypt),Owner,Board,2020-08-27,2023-01-05,"Basic Coaching Certificate, Basic Coaching Certificate",27,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.69,False
Christopher Samba (Congo),Advisor,Board,2022-05-31,2024-12-27,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.79,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-06-30,2022-07-21,"Talent Identification Certificate, Player Analysis",20,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.95,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-07-24,2024-06-29,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.58,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-08-31,2025-01-07,"Advanced Tactical Analysis Certificate, CAF B License",22,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.4,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-06-30,2019-06-22,Basic Coaching Certificate,8,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.04,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-06-30,2021-01-08,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",14,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.29,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2020-11-03,2025-10-25,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.55,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2020-11-03,2023-01-12,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",7,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.89,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2022-10-26,2025-02-28,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.73,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-02-04,2024-10-25,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2020-11-07,2021-10-25,"Advanced GK Training, UEFA GK A License",21,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.59,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2020-11-03,2025-10-25,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",25,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.66,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2021-10-26,2024-07-05,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",13,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.68,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2013-10-26,2026-10-25,"FIFA Management Certificate, Football Management Degree, Sports Administration",15,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.15,True
Augustin Senghor (Senegal),President,Board,2014-11-03,2017-08-03,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-01-10,2022-04-30,Basic Coaching Certificate,12,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.06,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-01-10,2022-06-22,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.87,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-01-27,2022-03-12,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.87,True
Mohamed Mansour (Egypt),Owner,Board,2016-12-20,2019-01-10,"Basic Coaching Certificate, Basic Coaching Certificate",21,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.42,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2016-12-21,2019-06-03,"Basic Coaching Certificate, Basic Coaching Certificate",11,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,3.9,False
Mohamed Mansour (Egypt),Owner,Board,2019-12-24,2022-05-03,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,False
Christopher Samba (Congo),Advisor,Board,2021-09-26,2024-04-24,Basic Coaching Certificate,24,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.69,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2019-10-27,2021-11-16,"Talent Identification Certificate, Player Analysis",24,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.66,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2021-11-19,2023-10-26,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.64,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2021-12-27,2024-05-05,"Advanced Tactical Analysis Certificate, CAF B License",22,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.78,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2015-10-27,2018-10-18,Basic Coaching Certificate,5,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.07,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2017-10-26,2020-05-06,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.43,True
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-10-09,2026-09-30,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.55,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-10-09,2023-12-18,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.74,True
